Run,Seed,Epoch,Fitness,WorkloadImbalance,CrossShardWorkload,ConvergenceIterations,TimeRan,beta,transactionArrivalRate,numberOfShards
3,"	-1",15,19400.062,11497.125,27303,-1,0.000,0.2,low,8
3,"	-1",16,18348.625,21979.250,14718,-1,0.000,0.2,low,8
3,"	-1",17,19157.062,13883.125,24431,-1,0.000,0.2,low,8
3,"	-1",18,20581.375,12240.750,28922,-1,0.000,0.2,low,8
3,"	-1",19,19864.312,11861.625,27867,-1,0.000,0.2,low,8
3,"	-1",20,19226.250,11712.500,26740,-1,0.000,0.2,low,8
3,"	-1",21,17425.750,9775.500,25076,-1,0.000,0.2,low,8
3,"	-1",22,16807.688,9314.375,24301,-1,0.000,0.2,low,8
3,"	-1",23,17121.938,9402.875,24841,-1,0.000,0.2,low,8
3,"	-1",24,17834.812,9744.625,25925,-1,0.000,0.2,low,8
3,"	-1",25,16847.125,8388.250,25306,-1,0.000,0.2,low,8
3,"	-1",26,17678.000,9364.000,25992,-1,0.000,0.2,low,8
3,"	-1",27,16178.562,10030.125,22327,-1,0.000,0.2,low,8
3,"	-1",28,15539.188,8291.375,22787,-1,0.000,0.2,low,8
3,"	-1",29,16744.438,9431.875,24057,-1,0.000,0.2,low,8
3,"	-1",30,17488.250,9996.500,24980,-1,0.000,0.2,low,8
